Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q19,80.54,83.69,5.104,-0.30768,2.540e-2,0.0236,0.0272,864,3.357e-4,3.357e-4,3.357e-4,19_18:7.675e-3; 19_20:6.387e-3,19_18:369.778; 19_20:348.444
Q20,98.07,156.2,4.902,-0.30965,5.300e-3,0.0074,0.0032,864,2.400e-4,2.400e-4,2.400e-4,20_33:8.639e-3; 20_19:6.387e-3; 20_21:1.754e-2,20_33:398.222; 20_19:384; 20_21:810.667
Q21,66.65,73.4,5.04,-0.30739,4.430e-2,0.0524,0.0362,864,2.571e-3,2.571e-3,2.571e-3,21_20:1.754e-2; 21_22:3.981e-2,21_20:846.222; 21_22:590.222
Q22,82.85,53.28,4.973,-0.30076,2.140e-2,0.0218,0.021,864,3.383e-3,3.383e-3,3.383e-3,22_23:1.933e-2; 22_21:3.981e-2; 22_15:4.272e-2,22_23:583.111; 22_21:625.778; 22_15:1116.444
Q23,101.5,107.36,5.033,-0.30851,1.212e-1,0.1232,0.1192,864,6.524e-4,6.524e-4,6.524e-4,23_24:1.657e-2; 23_22:1.933e-2,23_24:846.222; 23_22:547.556
Q24,129.62,186.05,4.767,-0.30398,2.570e-2,0.0312,0.0202,864,2.770e-3,2.770e-3,2.770e-3,24_25:1.318e-2; 24_34:1.208e-2; 24_23:1.657e-2,24_25:455.111; 24_34:952.889; 24_23:881.778
Q25,140.59,206.69,4.87,-0.31089,3.400e-2,0.021,0.047,864,2.228e-4,2.228e-4,2.228e-4,25_24:1.318e-2; 25_26:7.606e-3,25_24:419.556; 25_26:462.222
Q26,107.34,194.77,4.999,-0.30886,6.700e-3,0.0074,0.006,864,1.541e-4,1.541e-4,1.541e-4,26_27:6.951e-3; 26_16:6.388e-3; 26_25:7.606e-3,26_27:384; 26_16:312.889; 26_25:426.667
Q27,98.99,50.91,5.077,-0.30693,3.500e-2,0.0426,0.0274,864,2.535e-4,2.535e-4,2.535e-4,27_26:6.951e-3; 27_28:1.794e-2,27_26:348.444; 27_28:1009.778
Q28,84.82,65.16,5.198,-0.30578,1.030e-2,0.0116,0.009,864,1.928e-4,1.928e-4,1.928e-4,28_29:9.309e-3; 28_27:1.794e-2; 28_35:1.619e-2,28_29:412.444; 28_27:1045.333; 28_35:1123.556
